name,slug,value,date_of_information,ranking,region
"Monaco","monaco","$7,672,000,000","2015 est.","169","Europe"
"Liberia","liberia","$7,391,000,000","2021 est.","170","Africa"
"Isle of Man","isle-of-man","$6,792,000,000","2015 est.","171","Europe"
"Timor-Leste","timor-leste","$6,648,000,000","2021 est.","172","East and Southeast Asia"
"Guam","guam","$5,793,000,000","2016 est.","173","Australia and Oceania"
"Jersey","jersey","$5,569,000,000","2016 est.","174","Europe"
"French Polynesia","french-polynesia","$5,490,000,000","2017 est.","175","Australia and Oceania"
"Gambia, The","gambia-the","$5,482,000,000","2021 est.","176","Africa"
"Djibouti","djibouti","$5,432,000,000","2021 est.","177","Africa"
"Lesotho","lesotho","$5,236,000,000","2021 est.","178","Africa"
"Bermuda","bermuda","$5,127,000,000","2021 est.","179","North America"
"Liechtenstein","liechtenstein","$4,978,000,000","2014 est.","180","Europe"
"Cayman Islands","cayman-islands","$4,599,000,000","2021 est.","181","Central America and the Caribbean"
"Central African Republic","central-african-republic","$4,483,000,000","2019 est.","182","Africa"
"Aruba","aruba","$4,141,000,000","2021 est.","183","Central America and the Caribbean"
"Virgin Islands","virgin-islands","$3,872,000,000","2016 est.","184","Central America and the Caribbean"
"Barbados","barbados","$3,868,000,000","2021 est.","185","Central America and the Caribbean"
"Guinea-Bissau","guinea-bissau","$3,774,000,000","2021 est.","186","Africa"
"Cabo Verde","cabo-verde","$3,595,000,000","2021 est.","187","Africa"
"Belize","belize","$3,505,000,000","2021 est.","188","Central America and the Caribbean"
"Guernsey","guernsey","$3,465,000,000","2015 est.","189","Europe"
"Andorra","andorra","$3,327,000,000","2015 est.","190","Europe"
"Curacao","curacao","$3,167,000,000","2021 est.","191","Central America and the Caribbean"
"Seychelles","seychelles","$2,855,000,000","2021 est.","192","Africa"
"Comoros","comoros","$2,653,000,000","2021 est.","193","Africa"
"Greenland","greenland","$2,413,000,000","2015 est.","194","North America"
"Saint Lucia","saint-lucia","$2,344,000,000","2021 est.","195","Central America and the Caribbean"
"Gibraltar","gibraltar","$2,044,000,000","2014 est.","196","Europe"
"Faroe Islands","faroe-islands","$2,001,000,000","2014 est.","197","Europe"
"San Marino","san-marino","$1,917,000,000","2020 est.","198","Europe"
"Antigua and Barbuda","antigua-and-barbuda","$1,783,000,000","2021 est.","199","Central America and the Caribbean"
"Grenada","grenada","$1,706,000,000","2021 est.","200","Central America and the Caribbean"
"Solomon Islands","solomon-islands","$1,703,000,000","2021 est.","201","Australia and Oceania"
"Sint Maarten","sint-maarten","$1,440,000,000","2018 est.","202","Central America and the Caribbean"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","$1,429,000,000","2021 est.","203","Central America and the Caribbean"
"Saint Kitts and Nevis","saint-kitts-and-nevis","$1,261,000,000","2021 est.","204","Central America and the Caribbean"
"Northern Mariana Islands","northern-mariana-islands","$1,242,000,000","2016 est.","205","Australia and Oceania"
"Samoa","samoa","$1,211,000,000","2021 est.","206","Australia and Oceania"
"Sao Tome and Principe","sao-tome-and-principe","$904,057,000","2021 est.","207","Africa"
"Vanuatu","vanuatu","$888,165,000","2021 est.","208","Australia and Oceania"
"Turks and Caicos Islands","turks-and-caicos-islands","$835,171,000","2021 est.","209","Central America and the Caribbean"
"Dominica","dominica","$787,700,000","2021 est.","210","Central America and the Caribbean"
"American Samoa","american-samoa","$658,000,000","2016 est.","211","Australia and Oceania"
"Tonga","tonga","$651,247,000","2021 est.","212","Australia and Oceania"
"Saint Martin","saint-martin","$561,500,000","2005 est.","213","Central America and the Caribbean"
"British Virgin Islands","british-virgin-islands","$500,000,000","2017 est.","214","Central America and the Caribbean"
"Micronesia, Federated States of","micronesia-federated-states-of","$375,055,000","2021 est.","215","Australia and Oceania"
"Cook Islands","cook-islands","$299,900,000","2016 est.","216","Australia and Oceania"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","$261,300,000","2015 est.","217","North America"
"Marshall Islands","marshall-islands","$250,694,000","2021 est.","218","Australia and Oceania"
"Kiribati","kiribati","$249,640,000","2021 est.","219","Australia and Oceania"
"Palau","palau","$248,468,000","2021 est.","220","Australia and Oceania"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","$206,400,000","2015 est.","221","South America"
"Anguilla","anguilla","$175,400,000","2009 est.","222","Central America and the Caribbean"
"Montserrat","montserrat","$167,400,000","2011 est.","223","Central America and the Caribbean"
"Nauru","nauru","$149,474,000","2021 est.","224","Australia and Oceania"
"Wallis and Futuna","wallis-and-futuna","$60,000,000","2004 est.","225","Australia and Oceania"
"Tuvalu","tuvalu","$55,169,000","2021 est.","226","Australia and Oceania"
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","$31,100,000","2009 est.","227","Africa"
"Niue","niue","$10,010,000","2003 est.","228","Australia and Oceania"
"Tokelau","tokelau","$7,711,583","2017 est.","229","Australia and Oceania"
